Jaar;Geen kinderen;1 kind;2 kinderen;3 of meer kinderen
1935;11,7;10,2;32,5;45,6
1936;11,9;10,0;34,6;43,4
1937;10,2;10,9;36,5;42,4
1938;12,1;10,1;37,7;40,0
1939;11,6;10,3;40,1;38,0
1940;11,9;10,1;42,4;35,6
1941;10,0;12,1;44,3;33,6
1942;11,1;12,7;44,8;31,4
1943;10,3;13,6;47,3;28,8
1944;10,5;13,6;48,8;27,1
1945;11,7;13,6;49,6;25,1
1946;11,7;14,7;50,6;23,0
1947;12,8;14,4;50,4;22,4
1948;12,8;15,1;49,7;22,4
1949;13,9;15,1;48,8;22,2
1950;14,6;15,2;47,2;23,1
1951;15,3;15,2;46,6;23,0
1952;15,9;15,3;45,4;23,4
1953;16,3;15,4;44,5;23,8
1954;16,5;15,3;43,6;24,6
1955;17,1;15,2;42,9;24,9
1956;16,9;15,2;42,5;25,4
1957;17,2;15,0;42,2;25,6
1958;17,6;14,8;41,9;25,6
1959;17,7;15,2;41,9;25,2
1960;17,2;15,6;41,7;25,4
1961;18,0;15,5;42,0;24,5
1962;17,7;15,8;42,3;24,2
1963;18,0;16,2;42,3;23,4
1964;18,2;16,6;42,2;23,0
1965;18,1;17,0;42,3;22,6
1966;18,1;17,1;42,4;22,3
1967;18,1;17,2;42,9;21,8
1968;17,6;18,2;42,7;21,5
1969;17,6;18,5;42,7;21,2
1970;17,6;18,6;42,5;21,3
1971;17,6;18,7;42,4;21,3
1972;17,3;19,0;42,1;21,7
1973;17,1;18,7;42,5;21,7
1974;16,7;19,0;42,4;21,9
1975;16,7;18,8;42,5;22,0
1976;16,6;18,5;43,0;21,9
1977;16,1;18,5;43,2;22,3
1978;16,3;18,9;42,9;21,9
1979;16,1;18,7;43,1;22,1
1980;15,8;18,4;43,6;22,2
